Ali,B,Al,aba@gmail.com,1111111111,Nagpur,2213345123
John,G,Jo,jgj@yahoo.com,2222222222,Nagpur,2341246243
Rohit,S,Ro,rsr@gmail.com,3333333333,Nagpur,1985139871
Rahul,Y,Ra,ryr@yahoo.com,4444444444,Nagpur,1098723523
Sam,S,Sa,sss@gmail.com,5555555555,Nagpur,1226463423
Jay,J,Ja,jjj@yahoo.com,6666666666,Nagpur,3235457123
Kabir,K,Ka,kkk@gmail.com,7777777777,Nagpur,6634124122
Amar,A,Am,aaa@yahoo.com,8888888888,Nagpur,1236234512
Ameer,E,Am,aea@gmail.com,9000000000,Nagpur,6234123532
Ajith,B,Aj,aba@yahoo.com,8000000000,Nagpur,1123513412
David,D,Da,ddd@gmail.com,7000000000,Nagpur,4123123123
Fami,F,Fa,fff@yahoo.com,6000000000,Nagpur,5123124123
George,G,Ge,ggg@gmail.com,5000000000,Nagpur,5123123121
Ram,R,Ra,rrr@yahoo.com,4000000000,Nagpur,6231235123
Victor,V,Vi,vvv@gmail.com,3000000000,Nagpur,1325672347
Tom,T,To,ttt@yahoo.com,2000000000,Nagpur,6123123624
Qadir,Q,Qa,qqq@gmail.com,1000000000,Nagpur,2452345342
